"","from","to","weight"
"1","vir_ASV_1","ASV_360",0.0581095460239688
"2","vir_ASV_2","ASV_1030",-0.020802778855629
"3","vir_ASV_3","ASV_27",-0.0158393239304453
"4","vir_ASV_3","ASV_135",0.00946619418884156
"5","vir_ASV_3","ASV_633",-0.113610126448289
"6","vir_ASV_3","ASV_697",-0.0709378054128932
"7","vir_ASV_3","ASV_1043",-0.00436579944621701
"8","vir_ASV_3","ASV_1061",-0.124396727893733
"9","vir_ASV_3","ASV_1968",-0.0169958574306413
"10","vir_ASV_4","ASV_7",0.0307169224739524
"11","vir_ASV_4","ASV_16",0.145944279125934
"12","vir_ASV_4","ASV_70",0.0834842737638665
"13","vir_ASV_4","ASV_358",-0.00335224607773263
"14","vir_ASV_4","ASV_633",-0.0195419639334874
"15","vir_ASV_4","ASV_964",-0.00638409780155666
"16","vir_ASV_5","ASV_135",0.0178661021517363
"17","vir_ASV_5","ASV_625",0.000864962005918346
"18","vir_ASV_5","ASV_633",-0.128212929339002
"19","vir_ASV_5","ASV_1924",-0.0695169872295662
"20","vir_ASV_7","ASV_27",-0.0223409385409281
"21","vir_ASV_7","ASV_113",0.0277082697962504
"22","vir_ASV_7","ASV_244",0.0135885179369155
"23","vir_ASV_7","ASV_308",0.0210338663825597
"24","vir_ASV_8","ASV_144",0.0151162842337337
"25","vir_ASV_8","ASV_186",0.0402267987645384
"26","vir_ASV_8","ASV_198",0.0511923662308569
"27","vir_ASV_8","ASV_530",0.00796118930011253
"28","vir_ASV_10","ASV_227",0.0227482184628539
"29","vir_ASV_10","ASV_260",0.0226697218015454
"30","vir_ASV_10","ASV_318",0.0541089441822849
"31","vir_ASV_10","ASV_1043",0.00818954292346663
"32","vir_ASV_10","ASV_1321",0.00965229471889045
"33","vir_ASV_11","ASV_11",-0.136976796668224
"34","vir_ASV_11","ASV_356",-0.00364518811379502
"35","vir_ASV_11","ASV_619",0.0598104504398309
"36","vir_ASV_14","ASV_227",0.11312454886657
"37","vir_ASV_14","ASV_260",0.0703670202529854
"38","vir_ASV_14","ASV_1043",0.173919448099597
"39","vir_ASV_15","ASV_27",-0.0944578996207419
"40","vir_ASV_15","ASV_717",-0.00287981806383297
"41","vir_ASV_16","ASV_657",-0.0342246674401653
"42","vir_ASV_16","ASV_838",0.0444655082939053
"43","vir_ASV_16","ASV_1061",0.0941883273408369
"44","vir_ASV_17","ASV_113",0.0514463130076675
"45","vir_ASV_17","ASV_697",-0.0188918297020209
"46","vir_ASV_17","ASV_1924",-0.00654685590084902
"47","vir_ASV_17","ASV_1968",-0.027961559682192
"48","vir_ASV_18","ASV_1453",0.0449419930314163
"49","vir_ASV_19","ASV_11",0.0119967889321179
"50","vir_ASV_19","ASV_18",0.0312462274723321
"51","vir_ASV_19","ASV_27",-0.0279890316113172
"52","vir_ASV_19","ASV_70",0.0378598780484643
"53","vir_ASV_22","ASV_373",0.00120735112435333
"54","vir_ASV_23","ASV_37",-0.00630602566293204
"55","vir_ASV_23","ASV_643",0.0248312784493807
"56","vir_ASV_23","ASV_764",-0.00195384873983165
"57","vir_ASV_24","ASV_85",-0.0683192291308798
"58","vir_ASV_25","ASV_50",0.0168247306451474
"59","vir_ASV_25","ASV_463",0.00474945470083971
"60","vir_ASV_26","ASV_7",0.0189676184732842
"61","vir_ASV_26","ASV_10",0.0711178631548968
"62","vir_ASV_26","ASV_16",0.0157448134536333
"63","vir_ASV_26","ASV_83",-0.00444697849119302
"64","vir_ASV_26","ASV_101",-0.00886405370101331
"65","vir_ASV_26","ASV_318",-0.162404477775945
