vir_A,vir_B,distance,cov
ASV_430,ASV_712,0.3220338983050847,0.458293695377973
ASV_111,ASV_430,0.3474576271186441,0.0102535039462655
ASV_229,ASV_430,0.3474576271186441,0.0567696653869696
ASV_386,ASV_430,0.3813559322033898,0.0261511507293538
ASV_275,ASV_430,0.3983050847457627,0.0392183263117895
ASV_1098,ASV_430,0.3220338983050847,0.291926640417281
ASV_430,ASV_653,0.3220338983050847,0.123674212103128
ASV_384,ASV_430,0.2796610169491525,0.0654078026493884
ASV_430,ASV_560,0.3220338983050847,0.340234548965812
ASV_430,ASV_523,0.3474576271186441,0.0362856877148733
ASV_198,ASV_430,0.3474576271186441,0.0347627580558443
ASV_430,ASV_920,0.288135593220339,-0.00955194160326997
ASV_22,ASV_430,0.2966101694915254,0.0333132229312032
ASV_218,ASV_430,0.3050847457627119,0.0775355861612386
ASV_430,ASV_634,0.2711864406779661,0.206019631531299
ASV_338,ASV_430,0.3135593220338983,0.336653098214923
ASV_303,ASV_430,0.3644067796610169,0.157350410083002
ASV_430,ASV_473,0.288135593220339,-0.0162863007788722
ASV_393,ASV_430,0.3050847457627119,-0.0531249305608443
ASV_245,ASV_430,0.3135593220338983,0.139879899277013
ASV_235,ASV_430,0.3305084745762712,0.090300541429369
ASV_430,ASV_605,0.3474576271186441,-0.0741928367863189
ASV_361,ASV_95,0.3050847457627119,0.00501601542591984
ASV_350,ASV_361,0.2711864406779661,0.0607344747700274
ASV_139,ASV_361,0.3220338983050847,0.118111410287983
ASV_361,ASV_564,0.3305084745762712,0.284022617958438
ASV_361,ASV_403,0.423728813559322,0.0941708610302152
ASV_361,ASV_81,0.4322033898305085,0.0142220464111399
ASV_343,ASV_361,0.3644067796610169,-0.0201628843746662
ASV_268,ASV_361,0.3474576271186441,-0.0190363181956064
ASV_361,ASV_460,0.23728813559322035,0.00905931745497582
ASV_361,ASV_755,0.2711864406779661,-0.0206461384795253
ASV_165,ASV_361,0.2627118644067797,0.132040200917135
ASV_361,ASV_46,0.2966101694915254,0.284014949370278
ASV_349,ASV_361,0.23728813559322035,0.00379634457776579
ASV_712,ASV_940,0.4152542372881356,0.0478490302139396
ASV_190,ASV_712,0.3644067796610169,0.0334821031602275
ASV_229,ASV_712,0.3644067796610169,-3.10133028809584e-4
ASV_712,ASV_810,0.3389830508474576,-0.102260171919259
ASV_712,ASV_96,0.3813559322033898,0.0763390820396949
ASV_105,ASV_712,0.4067796610169492,0.0412885754582925
ASV_489,ASV_712,0.3813559322033898,-0.0246051580649305
ASV_294,ASV_712,0.288135593220339,-0.0857755422584509
ASV_172,ASV_712,0.2796610169491525,-0.058209374520484
ASV_357,ASV_712,0.288135593220339,-0.00773722550297143
ASV_659,ASV_712,0.3220338983050847,-0.0149126831759491
ASV_384,ASV_712,0.3559322033898305,0.0203275060988749
ASV_431,ASV_712,0.3305084745762712,-0.0263161141634742
ASV_551,ASV_712,0.3474576271186441,-0.0550643141619939
ASV_183,ASV_712,0.3983050847457627,-0.0263155009090679
ASV_523,ASV_712,0.4067796610169492,-0.0878535438909795
ASV_634,ASV_712,0.3474576271186441,-0.178345386291926
ASV_246,ASV_712,0.4322033898305085,-0.0468184941565748
ASV_185,ASV_712,0.3898305084745763,-0.0326163661178737
ASV_490,ASV_712,0.3220338983050847,-0.011051264253606
ASV_497,ASV_712,0.3220338983050847,-0.0542871516922148
ASV_474,ASV_712,0.3389830508474576,-0.0662658296807234
ASV_655,ASV_768,0.059322033898305086,-0.0207281427445692
ASV_315,ASV_655,0.4067796610169492,-0.0110314876984101
ASV_626,ASV_655,0.423728813559322,-0.0381421119380646
ASV_145,ASV_655,0.3898305084745763,0.100674271093028
ASV_47,ASV_655,0.3813559322033898,0.0162211847643342
ASV_443,ASV_655,0.423728813559322,0.00594084660606395
ASV_376,ASV_655,0.3135593220338983,0.0309685604453529
ASV_278,ASV_655,0.3220338983050847,0.101514861455366
ASV_655,ASV_88,0.3305084745762712,0.139749400126984
ASV_144,ASV_655,0.7796610169491526,0.0920327906423364
ASV_655,ASV_71,0.3050847457627119,0.0909717550883081
ASV_117,ASV_655,0.2966101694915254,0.0684811832271613
ASV_655,ASV_787,0.2966101694915254,-0.0329425077233581
ASV_318,ASV_655,0.3728813559322034,-0.174994175768139
ASV_655,ASV_86,0.3983050847457627,-3.52707159292392e-4
